security_id,nse_symbol,isin,company_name,issuer_id,exchange_id,listing_date,active_flag,_source_file,_extracted_date,_quality_issues,_confidence_score,_manual_review_required
276,BANKA,INE862Y01015,BANKA BIOLOO LIMITED,276,1,2020-10-29,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
277,BANKBARODA,INE028A01039,BANK OF BARODA,277,1,1997-02-19,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
278,BANKINDIA,INE084A01016,BANK OF INDIA,278,1,1997-04-30,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
279,BANSALWIRE,INE0B9K01025,BANSAL WIRE INDUSTRIES LIMITED,279,1,2024-07-10,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
280,BANSWRAS,INE629D01020,BANSWARA SYNTEX LIMITED,280,1,2007-04-11,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
281,BASF,INE373A01013,BASF INDIA LIMITED,281,1,1995-05-17,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
282,BASML,INE186H01022,BANNARI AMMAN SPINNING MILLS LIMITED,282,1,2005-11-14,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
283,BATAINDIA,INE176A01028,BATA INDIA LIMITED,283,1,2003-06-18,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
284,BATLIBOI,INE177C01022,BATLIBOI LIMITED,284,1,2026-04-20,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
285,BAYERCROP,INE462A01022,BAYER CROPSCIENCE LIMITED,285,1,2010-01-08,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
286,BBL,INE464A01036,BHARAT BIJLEE LIMITED,286,1,2006-11-21,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
287,BBOX,INE676A01027,BLACK BOX LIMITED,287,1,2003-07-22,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
288,BBTC,INE050A01025,THE BOMBAY BURMAH TRADING CORPORATION LIMITED,288,1,1996-04-03,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
289,BBTCL,INE01EE01011,BANDB TRIPLEWALL CONTAINERS LIMITED,289,1,2022-11-23,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
290,BCG,INE425B01027,BRIGHTCOM GROUP LIMITED,290,1,2015-05-08,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
291,BCLIND,INE412G01024,BCL INDUSTRIES LIMITED,291,1,2021-03-04,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
292,BCONCEPTS,INE977Y01011,BRAND CONCEPTS LIMITED,292,1,2022-01-11,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
293,BCPL,INE00SW01015,BCPL RAILWAY INFRASTRUCTURE LIMITED,293,1,2026-03-27,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
294,BDL,INE171Z01026,BHARAT DYNAMICS LIMITED,294,1,2018-03-23,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
295,BEARDSELL,INE520H01022,BEARDSELL LIMITED,295,1,2015-01-13,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
